Time(s),HeartRate(1/min),OxygenSaturation,MeanArterialPressure(mmHg),CardiacOutput(mL/min)
5.70,72.012012,0.974067,95.321705,5786.768481
5.72,72.012012,0.974064,95.321705,5786.768481
5.74,72.012012,0.974062,95.321705,5786.768481
5.76,72.012012,0.974060,95.321705,5786.768481
5.78,72.012012,0.974058,95.321705,5786.768481
5.80,72.012012,0.974056,95.321705,5786.768481
5.82,72.012012,0.974055,95.321705,5786.768481
5.84,72.012012,0.974054,95.321705,5786.768481
5.86,72.012012,0.974054,95.321705,5786.768481
5.88,72.012012,0.974054,95.321705,5786.768481
5.90,72.012012,0.974054,95.321705,5786.768481
5.92,72.012012,0.974054,95.321705,5786.768481
5.94,72.012012,0.974054,95.321705,5786.768481
5.96,72.012012,0.974054,95.321705,5786.768481
5.98,72.012012,0.974054,95.321705,5786.768481
6.00,72.012012,0.974054,95.321705,5786.768481
6.02,72.012012,0.974054,95.321705,5786.768481
6.04,72.012012,0.974054,95.321705,5786.768481
6.06,72.012012,0.974054,95.321705,5786.768481
6.08,72.012012,0.974054,95.321705,5786.768481
6.10,72.012012,0.974054,95.321705,5786.768481
6.12,72.012012,0.974054,95.321705,5786.768481
6.14,72.012012,0.974054,95.321705,5786.768481
6.16,72.012012,0.974054,95.321705,5786.768481
6.18,72.012012,0.974054,95.321705,5786.768481
6.20,72.012012,0.974054,95.321705,5786.768481
6.22,72.012012,0.974054,95.321705,5786.768481
6.24,72.012012,0.974054,95.321705,5786.768481
6.26,72.012012,0.974054,95.321705,5786.768481
6.28,72.013489,0.974054,95.327621,5787.546939
6.30,72.013489,0.974054,95.327621,5787.546939
6.32,72.013489,0.974054,95.327621,5787.546939
6.34,72.013489,0.974054,95.327621,5787.546939
6.36,72.013489,0.974054,95.327621,5787.546939
6.38,72.013489,0.974050,95.327621,5787.546939
6.40,72.013489,0.974043,95.327621,5787.546939
6.42,72.013489,0.974035,95.327621,5787.546939
6.44,72.013489,0.974027,95.327621,5787.546939
6.46,72.013489,0.974020,95.327621,5787.546939
6.48,72.013489,0.974014,95.327621,5787.546939
6.50,72.013489,0.974009,95.327621,5787.546939
6.52,72.013489,0.974004,95.327621,5787.546939
6.54,72.013489,0.974001,95.327621,5787.546939
6.56,72.013489,0.973998,95.327621,5787.546939
6.58,72.013489,0.973995,95.327621,5787.546939
6.60,72.013489,0.973993,95.327621,5787.546939
6.62,72.013489,0.973991,95.327621,5787.546939
6.64,72.013489,0.973990,95.327621,5787.546939
6.66,72.013489,0.973989,95.327621,5787.546939
6.68,72.013489,0.973988,95.327621,5787.546939
6.70,72.013489,0.973988,95.327621,5787.546939
6.72,72.013489,0.973988,95.327621,5787.546939
6.74,72.013489,0.973988,95.327621,5787.546939
6.76,72.013489,0.973988,95.327621,5787.546939
6.78,72.013489,0.973988,95.327621,5787.546939
6.80,72.013489,0.973988,95.327621,5787.546939
6.82,72.013489,0.973988,95.327621,5787.546939
6.84,72.013489,0.973988,95.327621,5787.546939
6.86,72.013489,0.973988,95.327621,5787.546939
6.88,72.013489,0.973988,95.327621,5787.546939
6.90,72.013489,0.973988,95.327621,5787.546939
6.92,72.013489,0.973988,95.327621,5787.546939
6.94,72.013489,0.973988,95.327621,5787.546939
6.96,72.013489,0.973988,95.327621,5787.546939
6.98,72.013489,0.973988,95.327621,5787.546939
7.00,72.013489,0.973988,95.327621,5787.546939
7.02,72.013489,0.973988,95.327621,5787.546939
7.04,72.013489,0.973988,95.327621,5787.546939
7.06,72.013489,0.973988,95.327621,5787.546939
7.08,72.013489,0.973988,95.327621,5787.546939
7.10,72.013489,0.973988,95.327621,5787.546939
7.12,72.014841,0.973988,95.330217,5787.565034
7.14,72.014841,0.973988,95.330217,5787.565034
7.16,72.014841,0.973988,95.330217,5787.565034
7.18,72.014841,0.973988,95.330217,5787.565034
7.20,72.014841,0.973988,95.330217,5787.565034
7.22,72.014841,0.973989,95.330217,5787.565034
7.24,72.014841,0.973989,95.330217,5787.565034
7.26,72.014841,0.973990,95.330217,5787.565034
7.28,72.014841,0.973991,95.330217,5787.565034
7.30,72.014841,0.973992,95.330217,5787.565034
7.32,72.014841,0.973993,95.330217,5787.565034
7.34,72.014841,0.973994,95.330217,5787.565034
7.36,72.014841,0.973994,95.330217,5787.565034
7.38,72.014841,0.973995,95.330217,5787.565034
7.40,72.014841,0.973995,95.330217,5787.565034
7.42,72.014841,0.973995,95.330217,5787.565034
7.44,72.014841,0.973995,95.330217,5787.565034
7.46,72.014841,0.973996,95.330217,5787.565034
7.48,72.014841,0.973996,95.330217,5787.565034
7.50,72.014841,0.973996,95.330217,5787.565034
7.52,72.014841,0.973996,95.330217,5787.565034
7.54,72.014841,0.973996,95.330217,5787.565034
7.56,72.014841,0.973996,95.330217,5787.565034
7.58,72.014841,0.973996,95.330217,5787.565034
7.60,72.014841,0.973996,95.330217,5787.565034
7.62,72.014841,0.973996,95.330217,5787.565034
7.64,72.014841,0.973996,95.330217,5787.565034
7.66,72.014841,0.973996,95.330217,5787.565034
7.68,72.014841,0.973996,95.330217,5787.565034
7.70,72.014841,0.973996,95.330217,5787.565034
7.72,72.014841,0.973996,95.330217,5787.565034
7.74,72.014841,0.973996,95.330217,5787.565034
7.76,72.014841,0.973996,95.330217,5787.565034
7.78,72.014841,0.973996,95.330217,5787.565034
7.80,72.014841,0.973996,95.330217,5787.565034
7.82,72.014841,0.973996,95.330217,5787.565034
7.84,72.014841,0.973996,95.330217,5787.565034
7.86,72.014841,0.973996,95.330217,5787.565034
7.88,72.014841,0.973996,95.330217,5787.565034
7.90,72.014841,0.973996,95.330217,5787.565034
7.92,72.014841,0.973996,95.330217,5787.565034
7.94,72.014841,0.973996,95.330217,5787.565034
7.96,72.015951,0.973996,95.330571,5787.631885
7.98,72.015951,0.973996,95.330571,5787.631885
8.00,72.015951,0.973996,95.330571,5787.631885
8.02,72.015951,0.973996,95.330571,5787.631885
8.04,72.015951,0.973996,95.330571,5787.631885
8.06,72.015951,0.974000,95.330571,5787.631885
8.08,72.015951,0.974006,95.330571,5787.631885
8.10,72.015951,0.974013,95.330571,5787.631885
8.12,72.015951,0.974020,95.330571,5787.631885
8.14,72.015951,0.974026,95.330571,5787.631885
8.16,72.015951,0.974031,95.330571,5787.631885
8.18,72.015951,0.974036,95.330571,5787.631885
8.20,72.015951,0.974039,95.330571,5787.631885
8.22,72.015951,0.974043,95.330571,5787.631885
8.24,72.015951,0.974045,95.330571,5787.631885
8.26,72.015951,0.974047,95.330571,5787.631885
8.28,72.015951,0.974049,95.330571,5787.631885
8.30,72.015951,0.974051,95.330571,5787.631885
8.32,72.015951,0.974052,95.330571,5787.631885
8.34,72.015951,0.974053,95.330571,5787.631885
8.36,72.015951,0.974054,95.330571,5787.631885
8.38,72.015951,0.974054,95.330571,5787.631885
8.40,72.015951,0.974054,95.330571,5787.631885
8.42,72.015951,0.974054,95.330571,5787.631885
8.44,72.015951,0.974054,95.330571,5787.631885
8.46,72.015951,0.974054,95.330571,5787.631885
8.48,72.015951,0.974054,95.330571,5787.631885
8.50,72.015951,0.974054,95.330571,5787.631885
8.52,72.015951,0.974054,95.330571,5787.631885
8.54,72.015951,0.974054,95.330571,5787.631885
8.56,72.015951,0.974054,95.330571,5787.631885
8.58,72.015951,0.974054,95.330571,5787.631885
8.60,72.015951,0.974054,95.330571,5787.631885
8.62,72.015951,0.974054,95.330571,5787.631885
8.64,72.015951,0.974054,95.330571,5787.631885
8.66,72.015951,0.974054,95.330571,5787.631885
8.68,72.015951,0.974054,95.330571,5787.631885
8.70,72.015951,0.974054,95.330571,5787.631885
8.72,72.015951,0.974054,95.330571,5787.631885
